14	0	-168.9	0.0	419.1
14	1	-168.9	0.0	424.1
14	2	-168.9	0.0	429.2
14	3	-168.9	0.0	434.2
14	4	-168.9	0.0	439.3
14	5	-168.9	0.0	444.3
14	6	-168.9	0.0	449.3
14	7	-168.9	0.0	454.4
13	0	-168.9	0.0	373.9
13	1	-168.9	0.0	378.9
13	2	-168.9	0.0	384.0
13	3	-168.9	0.0	389.0
13	4	-168.9	0.0	394.1
13	5	-168.9	0.0	399.1
13	6	-168.9	0.0	404.1
13	7	-168.9	0.0	409.2
12	0	-168.9	0.0	328.7
12	1	-168.9	0.0	333.7
12	2	-168.9	0.0	338.8
12	3	-168.9	0.0	343.8
12	4	-168.9	0.0	348.9
12	5	-168.9	0.0	353.9
12	6	-168.9	0.0	358.9
12	7	-168.9	0.0	364.0
11	0	-168.9	0.0	283.5
11	1	-168.9	0.0	288.5
11	2	-168.9	0.0	293.6
11	3	-168.9	0.0	298.6
11	4	-168.9	0.0	303.7
11	5	-168.9	0.0	308.7
11	6	-168.9	0.0	313.7
11	7	-168.9	0.0	318.8
17	0	-168.9	0.0	238.3
17	1	-168.9	0.0	243.3
17	2	-168.9	0.0	248.4
17	3	-168.9	0.0	253.4
17	4	-168.9	0.0	258.5
17	5	-168.9	0.0	263.5
17	6	-168.9	0.0	268.5
17	7	-168.9	0.0	273.6
16	0	-168.9	0.0	193.1
16	1	-168.9	0.0	198.1
16	2	-168.9	0.0	203.2
16	3	-168.9	0.0	208.2
16	4	-168.9	0.0	213.3
16	5	-168.9	0.0	218.3
16	6	-168.9	0.0	223.3
16	7	-168.9	0.0	228.4
15	0	-168.9	0.0	147.9
15	1	-168.9	0.0	152.9
15	2	-168.9	0.0	158.0
15	3	-168.9	0.0	163.0
15	4	-168.9	0.0	168.1
15	5	-168.9	0.0	173.1
15	6	-168.9	0.0	178.1
15	7	-168.9	0.0	183.2
101	0	-42.7	-60.5	422.0
101	1	-37.7	-60.5	422.0
101	2	-32.6	-60.5	422.0
101	3	-27.6	-60.5	422.0
101	4	-22.6	-60.5	422.0
101	5	-17.5	-60.5	422.0
101	6	-12.5	-60.5	422.0
101	7	-7.4	-60.5	422.0
104	0	-88.3	-60.5	459.5
104	1	-88.3	-60.5	454.5
104	2	-88.3	-60.5	449.4
104	3	-88.3	-60.5	444.4
104	4	-88.3	-60.5	439.4
104	5	-88.3	-60.5	434.3
104	6	-88.3	-60.5	429.3
104	7	-88.3	-60.5	424.2
103	0	-88.3	-60.5	414.3
103	1	-88.3	-60.5	409.3
103	2	-88.3	-60.5	404.2
103	3	-88.3	-60.5	399.2
103	4	-88.3	-60.5	394.2
103	5	-88.3	-60.5	389.1
103	6	-88.3	-60.5	384.1
103	7	-88.3	-60.5	379.0
102	0	-88.3	-60.5	369.1
102	1	-88.3	-60.5	364.1
102	2	-88.3	-60.5	359.0
102	3	-88.3	-60.5	354.0
102	4	-88.3	-60.5	349.0
102	5	-88.3	-60.5	343.9
102	6	-88.3	-60.5	338.9
102	7	-88.3	-60.5	333.8
108	0	-88.3	-60.5	323.9
108	1	-88.3	-60.5	318.9
108	2	-88.3	-60.5	313.8
108	3	-88.3	-60.5	308.8
108	4	-88.3	-60.5	303.8
108	5	-88.3	-60.5	298.7
108	6	-88.3	-60.5	293.7
108	7	-88.3	-60.5	288.6
107	0	-88.3	-60.5	278.7
107	1	-88.3	-60.5	273.7
107	2	-88.3	-60.5	268.6
107	3	-88.3	-60.5	263.6
107	4	-88.3	-60.5	258.6
107	5	-88.3	-60.5	253.5
107	6	-88.3	-60.5	248.5
107	7	-88.3	-60.5	243.4
106	0	-88.3	-60.5	233.5
106	1	-88.3	-60.5	228.5
106	2	-88.3	-60.5	223.4
106	3	-88.3	-60.5	218.4
106	4	-88.3	-60.5	213.4
106	5	-88.3	-60.5	208.3
106	6	-88.3	-60.5	203.3
106	7	-88.3	-60.5	198.2
105	0	-88.3	-60.5	188.3
105	1	-88.3	-60.5	183.3
105	2	-88.3	-60.5	178.2
105	3	-88.3	-60.5	173.2
105	4	-88.3	-60.5	168.2
105	5	-88.3	-60.5	163.1
105	6	-88.3	-60.5	158.1
